id,task,variation_id,prompt,ground_truth
1,Factual QA,1,What is the capital of Germany?,Berlin
1,Factual QA,2,Can you tell me what is the capital of germany?,Berlin
1,Factual QA,3,Please answer: What is the capital of Germany?,Berlin
1,Factual QA,4,I would like to know: What is the capital of Germany?,Berlin
1,Factual QA,5,Kindly respond to the following question: What is the capital of Germany?,Berlin
2,Factual QA,1,What is the capital of France?,Paris
2,Factual QA,2,Can you tell me what is the capital of france?,Paris
2,Factual QA,3,Please answer: What is the capital of France?,Paris
2,Factual QA,4,I would like to know: What is the capital of France?,Paris
2,Factual QA,5,Kindly respond to the following question: What is the capital of France?,Paris
3,Factual QA,1,What is the largest planet?,Jupiter
3,Factual QA,2,Can you tell me what is the largest planet?,Jupiter
3,Factual QA,3,Please answer: What is the largest planet?,Jupiter
3,Factual QA,4,I would like to know: What is the largest planet?,Jupiter
3,Factual QA,5,Kindly respond to the following question: What is the largest planet?,Jupiter
4,Factual QA,1,Who wrote Hamlet?,William Shakespeare
4,Factual QA,2,Can you tell me who wrote hamlet?,William Shakespeare
4,Factual QA,3,Please answer: Who wrote Hamlet?,William Shakespeare
4,Factual QA,4,I would like to know: Who wrote Hamlet?,William Shakespeare
4,Factual QA,5,Kindly respond to the following question: Who wrote Hamlet?,William Shakespeare
5,Factual QA,1,What is the boiling point of water in Celsius?,100
5,Factual QA,2,Can you tell me what is the boiling point of water in celsius?,100
5,Factual QA,3,Please answer: What is the boiling point of water in Celsius?,100
5,Factual QA,4,I would like to know: What is the boiling point of water in Celsius?,100
5,Factual QA,5,Kindly respond to the following question: What is the boiling point of water in Celsius?,100
6,Factual QA,1,Which ocean is the largest?,Pacific Ocean
6,Factual QA,2,Can you tell me which ocean is the largest?,Pacific Ocean
6,Factual QA,3,Please answer: Which ocean is the largest?,Pacific Ocean
6,Factual QA,4,I would like to know: Which ocean is the largest?,Pacific Ocean
6,Factual QA,5,Kindly respond to the following question: Which ocean is the largest?,Pacific Ocean
7,Factual QA,1,What is the currency of Japan?,Yen
7,Factual QA,2,Can you tell me what is the currency of japan?,Yen
