id,task,variation_id,prompt,ground_truth,response
1,Factual QA,1,What is the capital of Germany?,Berlin,The capital of Germany is Berlin.
1,Factual QA,2,Can you tell me what is the capital of germany?,Berlin,The capital of Germany is Berlin.
1,Factual QA,3,Please answer: What is the capital of Germany?,Berlin,The capital of Germany is Berlin.
1,Factual QA,4,I would like to know: What is the capital of Germany?,Berlin,The capital of Germany is Berlin.
1,Factual QA,5,Kindly respond to the following question: What is the capital of Germany?,Berlin,The capital of Germany is Berlin.
2,Factual QA,1,What is the capital of France?,Paris,The capital of France is Paris.
2,Factual QA,2,Can you tell me what is the capital of france?,Paris,The capital of France is Paris.
2,Factual QA,3,Please answer: What is the capital of France?,Paris,The capital of France is Paris.
2,Factual QA,4,I would like to know: What is the capital of France?,Paris,The capital of France is Paris.
2,Factual QA,5,Kindly respond to the following question: What is the capital of France?,Paris,The capital of France is Paris.
3,Factual QA,1,What is the largest planet?,Jupiter,"The largest planet in our solar system is Jupiter. It has a diameter of approximately 142,984 kilometers (88,846 miles), which is more than 11 times the diameter of Earth."
3,Factual QA,2,Can you tell me what is the largest planet?,Jupiter,"The largest planet in our solar system is Jupiter. It is a gas giant and is approximately 142,984 kilometers (88,846 miles) in diameter, which is more than 11 times the diameter of Earth. Jupiter is also the fifth planet from the Sun and has a mass that is about 318 times the mass of Earth."
3,Factual QA,3,Please answer: What is the largest planet?,Jupiter,"The largest planet in our solar system is Jupiter. It has a diameter of approximately 142,984 kilometers (88,846 miles) and makes up about 2.5 times the mass of all the other planets combined."
